Date,Discharge,Dayl,Prcp,Srad,Tmax,Tmin,Vp,one_Discharge,two_Discharge,three_Discharge,four_Discharge,five_Discharge,one_Prcp,two_Prcp,three_Prcp,four_Prcp,five_Prcp
2000-01-06,272.0,32486.4,0.0,182.11,-4.19,-12.44,236.41,434.0,355.0,272.0,180.0,160.0,7.26,5.62,0.0,0.0,0.0
2000-01-07,200.0,32509.61,0.0,216.22,-1.06,-11.57,254.79,272.0,434.0,355.0,272.0,180.0,0.0,7.26,5.62,0.0,0.0
2000-01-08,180.0,32804.85,0.0,218.52,2.22,-8.46,318.59,200.0,272.0,434.0,355.0,272.0,0.0,0.0,7.26,5.62,0.0
2000-01-09,200.0,32831.99,0.0,214.42,1.45,-8.77,313.09,180.0,200.0,272.0,434.0,355.0,0.0,0.0,0.0,7.26,5.62
2000-01-10,230.0,32831.99,1.6,184.49,6.68,-2.06,524.62,200.0,180.0,200.0,272.0,434.0,0.0,0.0,0.0,0.0,7.26
2000-01-11,806.0,32831.99,20.33,93.05,5.19,-0.12,599.98,230.0,200.0,180.0,200.0,272.0,1.6,0.0,0.0,0.0,0.0
2000-01-12,490.0,32944.93,0.15,167.28,5.08,-2.27,517.81,806.0,230.0,200.0,180.0,200.0,20.33,1.6,0.0,0.0,0.0
2000-01-13,375.0,33177.59,6.06,113.22,-0.21,-6.55,365.59,490.0,806.0,230.0,200.0,180.0,0.15,20.33,1.6,0.0,0.0
2000-01-14,301.0,33177.59,6.53,207.01,-5.22,-20.45,119.78,375.0,490.0,806.0,230.0,200.0,6.06,0.15,20.33,1.6,0.0
2000-01-15,260.0,33177.59,0.0,156.42,-14.07,-20.34,120.0,301.0,375.0,490.0,806.0,230.0,6.53,6.06,0.15,20.33,1.6
2000-01-16,240.0,33402.39,0.0,267.37,-5.29,-18.84,140.28,260.0,301.0,375.0,490.0,806.0,0.0,6.53,6.06,0.15,20.33
2000-01-17,230.0,33523.21,1.87,308.23,0.71,-24.01,80.0,240.0,260.0,301.0,375.0,490.0,0.0,0.0,6.53,6.06,0.15
2000-01-18,210.0,33523.21,0.0,207.18,-17.75,-26.19,79.68,230.0,240.0,260.0,301.0,375.0,1.87,0.0,0.0,6.53,6.06
2000-01-19,200.0,33523.21,0.0,265.05,-10.84,-23.21,82.94,210.0,230.0,240.0,260.0,301.0,0.0,1.87,0.0,0.0,6.53
2000-01-20,190.0,33868.79,2.54,200.24,-7.46,-17.24,160.0,200.0,210.0,230.0,240.0,260.0,0.0,0.0,1.87,0.0,0.0
2000-01-21,180.0,33868.79,4.13,178.61,-7.89,-17.85,154.04,190.0,200.0,210.0,230.0,240.0,2.54,0.0,0.0,1.87,0.0
2000-01-22,170.0,33868.79,0.0,201.57,-16.3,-24.07,81.22,180.0,190.0,200.0,210.0,230.0,4.13,2.54,0.0,0.0,1.87
2000-01-23,160.0,34214.39,0.0,231.28,-14.27,-23.5,81.36,170.0,180.0,190.0,200.0,210.0,0.0,4.13,2.54,0.0,0.0
2000-01-24,150.0,34214.39,0.0,279.16,-5.59,-18.18,159.85,160.0,170.0,180.0,190.0,200.0,0.0,0.0,4.13,2.54,0.0
2000-01-25,160.0,34214.39,0.0,307.32,0.12,-15.66,183.92,150.0,160.0,170.0,180.0,190.0,0.0,0.0,0.0,4.13,2.54
2000-01-26,180.0,34559.99,29.35,134.59,-5.93,-12.29,236.03,160.0,150.0,160.0,170.0,180.0,0.0,0.0,0.0,0.0,4.13
2000-01-27,160.0,34559.99,0.0,275.23,-8.04,-19.1,136.62,180.0,160.0,150.0,160.0,170.0,29.35,0.0,0.0,0.0,0.0
2000-01-28,150.0,34559.99,0.0,204.76,-14.5,-21.73,116.28,160.0,180.0,160.0,150.0,160.0,0.0,29.35,0.0,0.0,0.0
2000-01-29,140.0,34905.6,0.0,253.85,-11.11,-20.63,120.0,150.0,160.0,180.0,160.0,150.0,0.0,0.0,29.35,0.0,0.0
2000-01-30,140.0,34905.6,0.0,346.14,-0.51,-19.27,126.75,140.0,150.0,160.0,180.0,160.0,0.0,0.0,0.0,29.35,0.0
2000-01-31,160.0,35018.53,21.99,258.07,-0.07,-16.91,161.16,140.0,140.0,150.0,160.0,180.0,0.0,0.0,0.0,0.0,29.35
