Date,Discharge,Dayl,Prcp,Srad,Swe,Tmax,Tmin,Vp
2000-01-01,9.4,33868.8,0.0,280.52,0.0,9.79,-3.11,480.3
2000-01-02,8.6,33868.8,0.0,277.0,0.0,11.56,-1.04,560.0
2000-01-03,8.5,33868.8,0.0,222.79,0.0,14.33,5.0,880.0
2000-01-04,8.3,33868.8,0.0,186.9,0.0,16.08,8.46,1116.59
2000-01-05,8.3,33868.8,2.0,320.3,0.0,12.91,-5.51,403.72
2000-01-06,7.6,33868.8,0.0,192.27,0.0,-0.73,-7.95,336.56
2000-01-07,7.2,34083.96,0.0,241.88,0.0,3.66,-5.96,399.26
2000-01-08,7.2,34214.4,0.0,264.0,0.0,3.98,-6.97,360.0
2000-01-09,7.2,34214.4,0.0,238.76,0.0,4.31,-4.99,437.29
2000-01-10,8.0,34214.4,5.5,151.49,0.0,6.71,-0.88,569.99
2000-01-11,9.1,34214.4,7.56,182.87,0.0,9.4,-0.39,597.6
2000-01-12,9.4,34214.4,0.0,251.9,0.0,6.91,-3.06,489.21
2000-01-13,10.0,34560.0,1.38,267.93,0.0,9.28,-2.67,504.93
2000-01-14,11.0,34560.0,0.0,350.24,0.0,10.66,-12.98,226.74
2000-01-15,11.0,34560.0,0.0,271.27,0.0,-2.79,-13.24,218.61
2000-01-16,11.0,34560.0,0.0,329.81,0.0,7.3,-8.67,319.15
2000-01-17,11.0,34775.17,0.0,352.11,0.0,8.18,-12.47,237.84
2000-01-18,10.0,34905.6,0.33,224.46,0.0,-3.84,-11.65,249.4
2000-01-19,9.8,34905.6,0.0,161.79,0.0,-3.69,-9.05,303.61
2000-01-20,10.0,34905.6,8.0,150.92,0.0,-0.02,-6.83,364.23
2000-01-21,9.0,35246.58,0.0,306.05,0.0,-3.43,-15.23,186.2
2000-01-22,8.0,35251.2,0.0,163.03,0.0,-11.63,-16.92,160.0
2000-01-23,8.0,35251.2,0.7,267.45,0.0,-5.29,-14.75,199.15
2000-01-24,7.5,35251.2,0.0,253.93,0.0,-0.86,-9.5,288.4
2000-01-25,6.8,35596.8,0.0,290.24,0.0,-0.17,-10.5,276.73
2000-01-26,6.3,35596.8,0.0,260.45,0.0,-6.22,-14.87,192.3
2000-01-27,6.0,35596.8,0.0,289.5,0.0,-6.94,-16.84,167.9
2000-01-28,5.5,35942.39,0.0,257.92,0.0,-7.58,-15.98,176.85
2000-01-29,5.4,35942.39,0.0,344.39,0.0,-2.39,-15.59,192.23
2000-01-30,5.8,35942.39,7.0,251.99,0.0,0.02,-12.36,240.0
2000-01-31,5.5,36283.37,7.2,181.13,0.0,-2.38,-9.72,288.93
2000-02-01,5.2,36288.0,0.0,271.62,0.0,-2.04,-10.33,277.81
2000-02-02,5.0,36288.0,0.0,230.64,0.0,-3.59,-10.26,280.19
2000-02-03,4.5,36633.6,0.0,333.07,0.0,-0.04,-11.01,263.08
2000-02-04,4.5,36633.6,0.0,263.72,0.0,2.48,-5.19,427.16
2000-02-05,4.2,36633.6,0.0,254.13,0.0,0.97,-6.19,388.81
2000-02-06,3.8,36979.2,0.0,305.28,0.0,-0.73,-9.7,292.54
